1621558259.964608,s2-eth2,66348.00,5978541.00,6044889.00,5978541,66348,1001.00,1091.00,2092.00,1091,1001,0.00,0.00,0,0
1621558259.964706,s1-eth2,66143.00,5990528.00,6056671.00,5990528,66143,1000.00,1095.00,2095.00,1095,1000,0.00,0.00,0,0
1621558259.964735,total,18154972.00,18164956.00,36319928.00,18164956,18154972,6338.00,6328.00,12666.00,6328,6338,0.00,0.00,0,0
1621558260.964938,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558260.964984,s3-eth1,5939772.00,71346.00,6011118.00,71346,5939772,1142.00,1081.00,2223.00,1081,1142,0.00,0.00,0,0
1621558260.965069,s3-eth2,71416.00,5926542.00,5997958.00,5926542,71416,1082.00,1139.00,2221.00,1139,1082,0.00,0.00,0,0
1621558260.965151,s2-eth1,5939772.00,71280.00,6011052.00,71280,5939772,1142.00,1080.00,2222.00,1080,1142,0.00,0.00,0,0
1621558260.965182,s1-eth1,5933984.00,71346.00,6005330.00,71346,5933984,1142.00,1081.00,2223.00,1081,1142,0.00,0.00,0,0
1621558260.965213,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558260.965238,s2-eth2,71346.00,5939772.00,6011118.00,5939772,71346,1081.00,1142.00,2223.00,1142,1081,0.00,0.00,0,0
1621558260.965268,s1-eth2,71280.00,5939772.00,6011052.00,5939772,71280,1080.00,1142.00,2222.00,1142,1080,0.00,0.00,0,0
1621558260.965294,total,18027570.00,18020058.00,36047628.00,18020058,18027570,6669.00,6665.00,13334.00,6665,6669,0.00,0.00,0,0
1621558261.965698,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558261.965769,s3-eth1,5899018.00,65076.00,5964094.00,65076,5899018,1073.00,986.00,2059.00,986,1073,0.00,0.00,0,0
1621558261.965835,s3-eth2,65010.00,5881444.00,5946454.00,5881444,65010,985.00,1070.00,2055.00,1070,985,0.00,0.00,0,0
